year,race,education_buckets,sex,age,assets,debt,networth
2007,All,All,All,35-44,274409.5,130847.54,109430.51
2007,All,All,All,45-54,377680.3,118417.02,228367.22
2007,All,All,All,55-64,430192.13,74360.9,313170
2007,All,All,All,65-74,373927.69,49536.9,295517.92
2007,All,All,All,<35,47043.39,44611.6,14454.95
2007,All,All,All,>=75,271014.87,16047.34,263176.36
2007,All,All,All,All,273693.54,83075.84,149363.7
2007,All,All,Female,35-44,71102.06,46660.72,23206.92
2007,All,All,Female,45-54,175039.44,71842.7,71102.06
2007,All,All,Female,55-64,193790.14,29996.18,129983.45
2007,All,All,Female,65-74,211244.7,22219.39,163312.54
2007,All,All,Female,<35,13158.82,20614.66,3283.53
2007,All,All,Female,>=75,232316.1,2468.82,227501.89
2007,All,All,Female,All,134797.65,32094.68,59733.13
2007,All,All,Male,35-44,341438,146894.87,144228.55
2007,All,All,Male,45-54,459250.16,137019.59,287000.49
2007,All,All,Male,55-64,537832.75,101221.68,415539.68
2007,All,All,Male,65-74,496356.55,62954.95,361620.62
2007,All,All,Male,<35,101048.86,65423.77,25367.14
2007,All,All,Male,>=75,347116.29,37032.32,305393.21
2007,All,All,Male,All,342573.66,103690.5,190864.58
2007,All,Bachelor's degree or higher,All,35-44,531043.49,206973.64,301072.77
2007,All,Bachelor's degree or higher,All,45-54,815834.38,190099.25,579926.15
2007,All,Bachelor's degree or higher,All,55-64,939756.87,166892.33,743485.57
2007,All,Bachelor's degree or higher,All,65-74,1191206.33,130230.33,1011044.09
2007,All,Bachelor's degree or higher,All,<35,262929.48,136402.38,75299.05
2007,All,Bachelor's degree or higher,All,>=75,913068.91,37032.32,786319.62
2007,All,Bachelor's degree or higher,All,All,612588.66,172200.29,400195.95
2007,All,Bachelor's degree or higher,Female,35-44,323020.59,189074.69,170916.51
2007,All,Bachelor's degree or higher,Female,45-54,466113.48,128378.71,299344.6
2007,All,Bachelor's degree or higher,Female,55-64,427846.75,63127.76,377618.58
2007,All,Bachelor's degree or higher,Female,65-74,657940.91,106159.32,576840.12
2007,All,Bachelor's degree or higher,Female,<35,32341.56,48142.02,6727.54
2007,All,Bachelor's degree or higher,Female,>=75,551287.82,51845.25,551287.82
2007,All,Bachelor's degree or higher,Female,All,365138.69,108430.64,235649
2007,All,Bachelor's degree or higher,Male,35-44,576099.48,220712.63,339277.78
2007,All,Bachelor's degree or higher,Male,45-54,863470.29,208615.41,697565.49
2007,All,Bachelor's degree or higher,Male,55-64,1076825.84,190593.01,939880.31
2007,All,Bachelor's degree or higher,Male,65-74,1322053.87,210096.7,1241311.06
2007,All,Bachelor's degree or higher,Male,<35,301196.21,157128.14,98876.3
2007,All,Bachelor's degree or higher,Male,>=75,994935.03,37032.32,914303.32
2007,All,Bachelor's degree or higher,Male,All,699972.59,192568.07,457966.37
2007,All,High school diploma,All,35-44,182322.46,97518.45,68398.7
2007,All,High school diploma,All,45-54,275643.91,101221.68,131662.25
2007,All,High school diploma,All,55-64,313293.44,38266.73,238846.13
2007,All,High school diploma,All,65-74,237006.86,28946.93,174051.91
2007,All,High school diploma,All,<35,52721.68,42587.17,15430.13
2007,All,High school diploma,All,>=75,270459.39,2839.14,270459.39
2007,All,High school diploma,All,All,214824.5,55548.48,109121.91
2007,All,High school diploma,Female,35-44,25157.29,26539.83,8319.93
2007,All,High school diploma,Female,45-54,151030.15,48142.02,60486.12
2007,All,High school diploma,Female,55-64,204294.97,18886.48,139031.68
2007,All,High school diploma,Female,65-74,200344.86,37032.32,148252.73
2007,All,High school diploma,Female,<35,10183.89,9381.52,5567.19
2007,All,High school diploma,Female,>=75,258979.37,1172.69,258967.02
2007,All,High school diploma,Female,All,123811.39,15430.13,62448.84
