year,race,metric_type,metric,median,percentile_25,percentile_75,percentile_99
2007,All,Debt,Total Debt,83075.84,16787.99,204082.65,1191206.33
2007,Hispanic,Debt,Total Debt,65917.53,12097.22,181458.37,1386243.23
2007,Black,Debt,Total Debt,37526.09,7529.91,156770.16,739412.01
2007,Other,Debt,Total Debt,64436.24,12665.05,218935.08,1394884.1
2007,White,Debt,Total Debt,94062.1,22219.39,215281.23,1200711.3
2007,Other,Debt,Other Debts,6172.05,2592.26,14812.93,123441.07
2007,White,Debt,Other Debts,6172.05,2468.82,13578.52,246882.14
2007,All,Debt,Other Debts,6172.05,2468.82,12344.11,203677.77
2007,Black,Debt,Other Debts,3703.23,1357.85,8640.87,49376.43
2007,Hispanic,Debt,Other Debts,6542.38,4937.64,11109.7,203677.77
2007,Black,Asset,Total Assets,87581.44,9134.64,341907.08,1660035.52
2007,White,Asset,Total Assets,335760.95,111319.16,746448.16,12314617.01
2007,Other,Asset,Total Assets,161337.48,23700.69,564002.25,10156360.99
2007,Hispanic,Asset,Total Assets,87174.08,10862.81,379704.73,2693360.72
2007,All,Asset,Total Assets,273693.54,53203.1,656706.5,10814104.39
2007,Hispanic,Debt,Education Loans,12344.11,6912.7,29625.86,124675.48
2007,Black,Debt,Education Loans,11356.58,5431.41,30119.62,135785.18
2007,White,Debt,Education Loans,16047.34,7283.02,37032.32,185161.61
2007,Other,Debt,Education Loans,12344.11,6789.26,30860.27,138254
2007,All,Debt,Education Loans,14812.93,6172.05,32465,139488.41
2007,Other,Debt,Installment Loans,16047.34,6665.82,29625.86,187630.43
2007,White,Debt,Installment Loans,16047.34,7406.46,30860.27,158004.57
2007,Hispanic,Debt,Installment Loans,16294.22,5061.08,30860.27,112331.37
2007,All,Debt,Installment Loans,16047.34,6665.82,30736.83,154301.34
2007,Black,Debt,Installment Loans,12344.11,4443.88,28391.45,83693.05
2007,Black,Asset,Directly Held Stocks,9875.29,1234.41,37032.32,141957.23
2007,All,Asset,Directly Held Stocks,20984.98,3703.23,98752.86,3703232.13
2007,Other,Asset,Directly Held Stocks,8270.55,3703.23,37032.32,1481292.85
2007,White,Asset,Directly Held Stocks,23453.8,3703.23,119737.84,4320437.48
2007,Hispanic,Asset,Directly Held Stocks,11109.7,2715.7,61720.54,617205.35
2007,All,Asset,Pooled Investment Fund Assets,69127,19750.57,270335.95,5925171.4
2007,White,Asset,Pooled Investment Fund Assets,79002.29,24688.21,293172.54,5986891.94
2007,Hispanic,Asset,Pooled Investment Fund Assets,37032.32,4320.44,98752.86,1049249.1
2007,Black,Asset,Pooled Investment Fund Assets,27157.04,12344.11,61720.54,425871.69
2007,Other,Asset,Pooled Investment Fund Assets,45673.2,12344.11,148129.29,1245520.4
2007,Other,Asset,Quasi-Liquid Retirement Accounts,39007.38,10492.49,118503.43,944324.19
2007,Black,Asset,Quasi-Liquid Retirement Accounts,32094.68,8887.76,79002.29,654237.68
2007,All,Asset,Quasi-Liquid Retirement Accounts,55548.48,13578.52,171583.09,1845444.01
2007,Hispanic,Asset,Quasi-Liquid Retirement Accounts,20984.98,6172.05,61720.54,728302.32
2007,White,Asset,Quasi-Liquid Retirement Accounts,65423.77,16294.22,197505.71,2102818.64
2007,Other,Debt,Debt Secured by Primary Residence,159238.98,83939.93,261695.07,1002341.5
2007,Black,Debt,Debt Secured by Primary Residence,119737.84,61720.54,207381,732005.55
2007,White,Debt,Debt Secured by Primary Residence,130847.54,67892.59,233303.62,1049249.1
2007,All,Debt,Debt Secured by Primary Residence,132081.95,69127,237006.86,999872.67
2007,Hispanic,Debt,Debt Secured by Primary Residence,141957.23,86408.75,246882.14,982590.92
2007,Other,Asset,Cash Value of Whole Life Insurance,8640.87,2468.82,45673.2,246882.14
2007,White,Asset,Cash Value of Whole Life Insurance,11109.7,3456.35,33329.09,555484.82
2007,All,Asset,Cash Value of Whole Life Insurance,9875.29,2715.7,30860.27,493764.28
2007,Black,Asset,Cash Value of Whole Life Insurance,6172.05,1851.62,19750.57,308602.68
2007,Hispanic,Asset,Cash Value of Whole Life Insurance,5554.85,851.74,18516.16,209849.82
2007,Hispanic,Debt,Credit Card Balances after Last Payment,3172.44,790.02,8640.87,62954.95
