geo_level,geo_name,year,state_name,pct_black_alone,debt_to_income_ratio_high
county,"Autauga County, Alabama",2007,Alabama,19.7,
county,"Baldwin County, Alabama",2007,Alabama,8.8,3.43
county,"Barbour County, Alabama",2007,Alabama,47.4,1.01
county,"Butler County, Alabama",2007,Alabama,44.8,1.58
county,"Calhoun County, Alabama",2007,Alabama,21.5,1.58
county,"Chambers County, Alabama",2007,Alabama,40.1,2.61
county,"Clarke County, Alabama",2007,Alabama,45.4,1.19
county,"Coffee County, Alabama",2007,Alabama,17,3.43
county,"Colbert County, Alabama",2007,Alabama,16.4,1.37
county,"Cullman County, Alabama",2007,Alabama,1.1,2.15
county,"Dale County, Alabama",2007,Alabama,20.7,1.37
county,"Dallas County, Alabama",2007,Alabama,71.7,1.37
county,"DeKalb County, Alabama",2007,Alabama,1.6,1.58
county,"Elmore County, Alabama",2007,Alabama,20.8,
county,"Etowah County, Alabama",2007,Alabama,15.6,1.82
county,"Henry County, Alabama",2007,Alabama,26.6,
county,"Houston County, Alabama",2007,Alabama,27.3,1.82
county,"Jackson County, Alabama",2007,Alabama,3.5,1.82
county,"Jefferson County, Alabama",2007,Alabama,42.9,1.37
county,"Lauderdale County, Alabama",2007,Alabama,10,2.61
county,"Lee County, Alabama",2007,Alabama,22.4,2.15
county,"Limestone County, Alabama",2007,Alabama,13.1,2.61
county,"Madison County, Alabama",2007,Alabama,24.3,1.37
county,"Marshall County, Alabama",2007,Alabama,2.9,1.82
county,"Mobile County, Alabama",2007,Alabama,36.1,1.58
county,"Montgomery County, Alabama",2007,Alabama,58.5,1.37
county,"Morgan County, Alabama",2007,Alabama,13.1,1.58
county,"Russell County, Alabama",2007,Alabama,44.7,3.43
county,"Shelby County, Alabama",2007,Alabama,12.6,3.43
county,"Talladega County, Alabama",2007,Alabama,32.2,1.37
county,"Tuscaloosa County, Alabama",2007,Alabama,32.2,1.58
county,"Walker County, Alabama",2007,Alabama,5.9,1.58
county,"Aleutians East Borough, Alaska",2007,Alaska,2.1,0.78
county,"Aleutians West Census Area, Alaska",2007,Alaska,3.5,0.78
county,"Anchorage Municipality, Alaska",2007,Alaska,5.4,2.15
county,"Bethel Census Area, Alaska",2007,Alaska,0.9,1.01
county,"Fairbanks North Star Borough, Alaska",2007,Alaska,4.6,2.15
county,"Juneau City and Borough, Alaska",2007,Alaska,1,2.15
county,"Kenai Peninsula Borough, Alaska",2007,Alaska,0.7,3.43
county,"Ketchikan Gateway Borough, Alaska",2007,Alaska,0.8,1.82
county,"Kodiak Island Borough, Alaska",2007,Alaska,1.1,2.61
county,"Matanuska-Susitna Borough, Alaska",2007,Alaska,1.3,
county,"Nome Census Area, Alaska",2007,Alaska,0.9,0.78
county,"North Slope Borough, Alaska",2007,Alaska,0.8,0.78
county,"Northwest Arctic Borough, Alaska",2007,Alaska,1.1,0.78
county,"Sitka City and Borough, Alaska",2007,Alaska,0.6,2.61
county,"Apache County, Arizona",2007,Arizona,0.9,1.19
county,"Cochise County, Arizona",2007,Arizona,3.9,3.43
county,"Coconino County, Arizona",2007,Arizona,1.4,2.15
county,"Gila County, Arizona",2007,Arizona,0.8,3.43
county,"Graham County, Arizona",2007,Arizona,2,1.82
county,"La Paz County, Arizona",2007,Arizona,0.6,1.82
county,"Maricopa County, Arizona",2007,Arizona,5.6,2.61
county,"Mohave County, Arizona",2007,Arizona,1.1,
county,"Navajo County, Arizona",2007,Arizona,1,2.15
county,"Pima County, Arizona",2007,Arizona,3.4,2.61
county,"Pinal County, Arizona",2007,Arizona,4.6,
county,"Santa Cruz County, Arizona",2007,Arizona,0.5,3.43
county,"Yavapai County, Arizona",2007,Arizona,0.6,
county,"Yuma County, Arizona",2007,Arizona,2.1,2.61
county,"Baxter County, Arkansas",2007,Arkansas,0.3,1.82
county,"Benton County, Arkansas",2007,Arkansas,1.8,1.82
county,"Boone County, Arkansas",2007,Arkansas,0.2,1.82
county,"Carroll County, Arkansas",2007,Arkansas,0.5,2.15
county,"Chicot County, Arkansas",2007,Arkansas,53.6,1.19
county,"Clark County, Arkansas",2007,Arkansas,24.4,1.01
county,"Conway County, Arkansas",2007,Arkansas,10.4,2.15
county,"Craighead County, Arkansas",2007,Arkansas,15.5,1.58
county,"Crawford County, Arkansas",2007,Arkansas,1.6,2.15
county,"Crittenden County, Arkansas",2007,Arkansas,49.5,2.61
county,"Faulkner County, Arkansas",2007,Arkansas,11.8,2.15
county,"Garland County, Arkansas",2007,Arkansas,8.3,1.82
county,"Grant County, Arkansas",2007,Arkansas,2.2,
county,"Hot Spring County, Arkansas",2007,Arkansas,11.2,1.82
county,"Independence County, Arkansas",2007,Arkansas,1.9,1.01
county,"Jefferson County, Arkansas",2007,Arkansas,55.8,1.01
county,"Little River County, Arkansas",2007,Arkansas,20.3,0.78
county,"Logan County, Arkansas",2007,Arkansas,1.4,1.58
county,"Lonoke County, Arkansas",2007,Arkansas,5.6,
county,"Pope County, Arkansas",2007,Arkansas,2.5,1.58
county,"Pulaski County, Arkansas",2007,Arkansas,37.3,1.01
county,"St. Francis County, Arkansas",2007,Arkansas,53.4,1.01
county,"Saline County, Arkansas",2007,Arkansas,8.1,
county,"Sebastian County, Arkansas",2007,Arkansas,6.1,1.01
county,"Sharp County, Arkansas",2007,Arkansas,1,
county,"Union County, Arkansas",2007,Arkansas,32.7,1.01
county,"Washington County, Arkansas",2007,Arkansas,3.4,1.82
county,"White County, Arkansas",2007,Arkansas,4.5,2.15
county,"Yell County, Arkansas",2007,Arkansas,1.8,2.15
county,"Alameda County, California",2007,California,10.2,3.43
county,"Amador County, California",2007,California,2.5,3.43
county,"Butte County, California",2007,California,1.8,3.43
county,"Calaveras County, California",2007,California,1,
county,"Contra Costa County, California",2007,California,8.6,
county,"Del Norte County, California",2007,California,3,1.82
county,"El Dorado County, California",2007,California,0.9,
county,"Fresno County, California",2007,California,4.5,2.61
county,"Glenn County, California",2007,California,0.6,
county,"Humboldt County, California",2007,California,1.3,
county,"Imperial County, California",2007,California,2.7,3.43
county,"Inyo County, California",2007,California,0.5,3.43
county,"Kern County, California",2007,California,5.4,3.43
county,"Kings County, California",2007,California,6.6,2.61
county,"Lake County, California",2007,California,2.4,
county,"Lassen County, California",2007,California,8.6,2.15
county,"Los Angeles County, California",2007,California,7.9,3.43
county,"Madera County, California",2007,California,3,3.43
county,"Marin County, California",2007,California,2.3,
county,"Mariposa County, California",2007,California,0.9,3.43
county,"Mendocino County, California",2007,California,0.7,
county,"Merced County, California",2007,California,2.9,
county,"Mono County, California",2007,California,0.1,3.43
county,"Monterey County, California",2007,California,2.5,
county,"Napa County, California",2007,California,2.1,3.43
county,"Nevada County, California",2007,California,0.4,
county,"Orange County, California",2007,California,1.7,3.43
county,"Placer County, California",2007,California,1.6,
county,"Plumas County, California",2007,California,1.7,
county,"Riverside County, California",2007,California,6.5,
county,"Sacramento County, California",2007,California,9.7,2.61
county,"San Benito County, California",2007,California,1,
county,"San Bernardino County, California",2007,California,8,
county,"San Diego County, California",2007,California,4.9,
county,"San Francisco County, California",2007,California,5.2,1.37
county,"San Joaquin County, California",2007,California,7,
county,"San Luis Obispo County, California",2007,California,1.5,
county,"San Mateo County, California",2007,California,2.4,3.43
county,"Santa Barbara County, California",2007,California,1.9,
county,"Santa Clara County, California",2007,California,2.5,2.15
county,"Santa Cruz County, California",2007,California,1.1,
county,"Shasta County, California",2007,California,1.1,3.43
county,"Siskiyou County, California",2007,California,1.7,
county,"Solano County, California",2007,California,13.4,
county,"Sonoma County, California",2007,California,1.6,
county,"Stanislaus County, California",2007,California,3,
county,"Sutter County, California",2007,California,1.9,
county,"Tehama County, California",2007,California,0.9,
county,"Trinity County, California",2007,California,0.6,2.61
county,"Tulare County, California",2007,California,1.7,2.61
county,"Tuolumne County, California",2007,California,1.7,
county,"Ventura County, California",2007,California,1.8,
county,"Yolo County, California",2007,California,2.6,2.61
county,"Yuba County, California",2007,California,3.6,
county,"Adams County, Colorado",2007,Colorado,3.4,3.43
county,"Alamosa County, Colorado",2007,Colorado,2.1,1.37
county,"Arapahoe County, Colorado",2007,Colorado,11,2.15
county,"Boulder County, Colorado",2007,Colorado,0.9,2.15
county,"Broomfield County, Colorado",2007,Colorado,1.4,1.82
county,"Chaffee County, Colorado",2007,Colorado,1.4,3.43
county,"Conejos County, Colorado",2007,Colorado,0.5,1.58
county,"Costilla County, Colorado",2007,Colorado,0,1.01
county,"Custer County, Colorado",2007,Colorado,1.7,
county,"Denver County, Colorado",2007,Colorado,9,1.19
county,"Douglas County, Colorado",2007,Colorado,1.5,
county,"Eagle County, Colorado",2007,Colorado,0.9,3.43
county,"Elbert County, Colorado",2007,Colorado,0.3,
county,"El Paso County, Colorado",2007,Colorado,6.1,3.43
county,"Fremont County, Colorado",2007,Colorado,4.5,3.43
county,"Garfield County, Colorado",2007,Colorado,0.5,3.43
county,"Jefferson County, Colorado",2007,Colorado,1.1,3.43
county,"Lake County, Colorado",2007,Colorado,0.2,
county,"La Plata County, Colorado",2007,Colorado,0.5,2.61
county,"Larimer County, Colorado",2007,Colorado,1,3.43
county,"Lincoln County, Colorado",2007,Colorado,8,1.58
county,"Logan County, Colorado",2007,Colorado,0.9,2.15
county,"Mesa County, Colorado",2007,Colorado,0.7,2.61
county,"Montrose County, Colorado",2007,Colorado,0.3,3.43
county,"Pueblo County, Colorado",2007,Colorado,1.9,2.61
county,"Routt County, Colorado",2007,Colorado,0.3,3.43
county,"Sedgwick County, Colorado",2007,Colorado,0.6,0.78
county,"Summit County, Colorado",2007,Colorado,0.2,
county,"Weld County, Colorado",2007,Colorado,1.4,3.43
county,"Fairfield County, Connecticut",2007,Connecticut,11.5,2.15
county,"Hartford County, Connecticut",2007,Connecticut,13.9,1.19
county,"Litchfield County, Connecticut",2007,Connecticut,1.8,3.43
county,"Middlesex County, Connecticut",2007,Connecticut,5.4,2.61
county,"New Haven County, Connecticut",2007,Connecticut,13.8,2.15
county,"New London County, Connecticut",2007,Connecticut,6,1.82
county,"Tolland County, Connecticut",2007,Connecticut,3.1,3.43
county,"Windham County, Connecticut",2007,Connecticut,2.3,3.43
county,"Kent County, Delaware",2007,Delaware,25.7,2.61
county,"New Castle County, Delaware",2007,Delaware,25.2,1.58
county,"Sussex County, Delaware",2007,Delaware,11.2,3.43
